Project Name,Project ID,Project Type,Extension Type,Extension Version,Hub ID,Root Folder ID,Self Link,Web View Link
TR1670_N00000877,b.e70dafb1-d714-49df-ab9a-12321c61c52c,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.lZsUjpYgRxWiqyXekCRK2g,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.e70dafb1-d714-49df-ab9a-12321c61c52c,https://acc.autodesk.eu/docs/files/projects/e70dafb1-d714-49df-ab9a-12321c61c52c
TR1580_N00001702,b.415ad2af-722f-43a8-be5e-942630b677ff,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.HlwRoAPMTXuFkzlJcolT3Q,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.415ad2af-722f-43a8-be5e-942630b677ff,https://acc.autodesk.eu/docs/files/projects/415ad2af-722f-43a8-be5e-942630b677ff
S011_N00001500,b.5f6d7b3e-5025-45af-80b2-8271c20d4e88,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.ZUVn0GdKRwORGvVcxYdYXQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.5f6d7b3e-5025-45af-80b2-8271c20d4e88,https://acc.autodesk.eu/docs/files/projects/5f6d7b3e-5025-45af-80b2-8271c20d4e88
TR1720_N00000546,b.a599685a-7bce-4a3a-8df2-09914edd769b,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.DUptDJ-IQpCBUY9eBVl3Hg,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.a599685a-7bce-4a3a-8df2-09914edd769b,https://acc.autodesk.eu/docs/files/projects/a599685a-7bce-4a3a-8df2-09914edd769b
S083_N00000965,b.bbe53f12-4574-4dee-a13f-497e801fcce9,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.9fHVFg5ZQDaozyl0ISePEA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.bbe53f12-4574-4dee-a13f-497e801fcce9,https://acc.autodesk.eu/docs/files/projects/bbe53f12-4574-4dee-a13f-497e801fcce9
TR1770_N00000909,b.5b9f751c-0ca3-4e8c-ad88-0303fcff16de,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.9nfD8LH5SaaZ5UN_n0-6TA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.5b9f751c-0ca3-4e8c-ad88-0303fcff16de,https://acc.autodesk.eu/docs/files/projects/5b9f751c-0ca3-4e8c-ad88-0303fcff16de
S114_N00000919,b.e2f02ad1-5f53-4f7e-b7d5-a4db861ee592,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co._ynSWsslTqyG5jgcMYRmAQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.e2f02ad1-5f53-4f7e-b7d5-a4db861ee592,https://acc.autodesk.eu/docs/files/projects/e2f02ad1-5f53-4f7e-b7d5-a4db861ee592
TR1543_N00000682,b.9b2cb878-7144-45dd-8a7c-e7ede3648f75,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.--22zGfnShemOuaMTh5lCg,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.9b2cb878-7144-45dd-8a7c-e7ede3648f75,https://acc.autodesk.eu/docs/files/projects/9b2cb878-7144-45dd-8a7c-e7ede3648f75
S013_N00001458,b.471dc3fa-0eeb-41c1-9cc7-5c8bf86bc9c0,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.dbHCJ7XzTvyXSSyfRUbOYw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.471dc3fa-0eeb-41c1-9cc7-5c8bf86bc9c0,https://acc.autodesk.eu/docs/files/projects/471dc3fa-0eeb-41c1-9cc7-5c8bf86bc9c0
TR1255_N00001401,b.550789e5-837f-4069-b33c-827f178c38c7,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.eb-2shyBQIWYw0fkCReXzA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.550789e5-837f-4069-b33c-827f178c38c7,https://acc.autodesk.eu/docs/files/projects/550789e5-837f-4069-b33c-827f178c38c7
